J,h,val,err,,,
1.176615255,0.849895491,0.203971099,0.000642338,,,
1.176525314,0.849960463,0.204013417,0.000642025,,,
1.176435373,0.850025444,0.204056793,0.000641941,,,
1.176345431,0.850090436,0.204096238,0.000642013,,,
1.17625549,0.850155437,0.20413172,0.00064261,,,
1.176165549,0.850220448,0.204166876,0.000642516,,,
1.176075607,0.850285469,0.204204605,0.000642387,,,
1.176,0.850340136,0.204236713,0.000642244,,,
1.175910059,0.850405176,0.20424374,0.000641323,,,
1.175820117,0.850470225,0.20425343,0.00064043,,,
1.175730176,0.850535285,0.204267657,0.000639951,,,
1.175640235,0.850600354,0.204279793,0.000638955,,,
1.175550294,0.850665433,0.204292733,0.000637726,,,
1.175460352,0.850730523,0.204300675,0.00063651,,,
1.175370411,0.850795622,0.204316155,0.000635713,,,
1.17528047,0.850860731,0.204338665,0.000634567,,,
1.175190528,0.850925851,0.204356296,0.000633849,,,
1.175100587,0.85099098,0.204374414,0.000633197,,,
1.175010646,0.851056119,0.204394432,0.000632411,,,
1.174920705,0.851121268,0.204418164,0.000632162,,,
1.174830763,0.851186427,0.204439493,0.000631478,,,
1.174740822,0.851251596,0.204469168,0.000630462,,,
1.174650881,0.851316775,0.204497649,0.000629813,,,
1.174560939,0.851381965,0.20451971,0.000629251,,,
1.174470998,0.851447164,0.204549515,0.000629348,,,
1.174381057,0.851512373,0.204583382,0.000628994,,,
1.174291116,0.851577592,0.204617089,0.000629084,,,
1.174201174,0.851642821,0.204648969,0.000628547,,,
1.174111233,0.85170806,0.204685916,0.000627792,,,
1.174021292,0.851773309,0.204718588,0.000627603,,,
1.17393135,0.851838568,0.204757002,0.000627745,,,
1.173841409,0.851903837,0.204795263,0.000627366,,,
1.173751468,0.851969116,0.204832528,0.000627384,,,
1.173661527,0.852034405,0.204869358,0.000627556,,,
1.173571585,0.852099704,0.204907797,0.000627331,,,
1.173481644,0.852165013,0.204941748,0.000627283,,,
1.173391703,0.852230332,0.204977814,0.000627105,,,
1.173301761,0.852295661,0.205008873,0.00062631,,,
1.17321182,0.852361,0.205045273,0.000626233,,,
1.173121879,0.852426349,0.20508047,0.000626845,,,
1.173031938,0.852491708,0.205117546,0.00062653,,,
1.172941996,0.852557077,0.20515895,0.000626344,,,
1.172852055,0.852622456,0.205194533,0.000627086,,,
1.172762114,0.852687845,0.205227755,0.000627079,,,
1.172672172,0.852753245,0.205266371,0.000626798,,,
1.172582231,0.852818654,0.205305358,0.000626811,,,
1.17249229,0.852884073,0.205342058,0.00062649,,,
1.172402349,0.852949503,0.205375431,0.000626732,,,
1.172312407,0.853014942,0.205411677,0.000626622,,,
1.172222466,0.853080391,0.205456969,0.000625914,,,
1.172132525,0.853145851,0.205496098,0.000625561,,,
1.172042583,0.85321132,0.205536268,0.000625738,,,
1.171952642,0.8532768,0.205579242,0.000625823,,,
1.171862701,0.853342289,0.20562231,0.000625645,,,
1.17177276,0.853407789,0.205658831,0.000625459,,,
1.171682818,0.853473299,0.205697747,0.000625517,,,
1.171592877,0.853538818,0.205737633,0.000625082,,,
1.171502936,0.853604348,0.20577416,0.000624748,,,
1.171412995,0.853669888,0.205815989,0.000625241,,,
1.171323053,0.853735438,0.205857778,0.000625107,,,
1.171233112,0.853800998,0.205894412,0.000624898,,,
1.171143171,0.853866568,0.205934403,0.000624859,,,
1.171053229,0.853932148,0.205972804,0.00062444,,,
1.170963288,0.853997739,0.206015073,0.00062444,,,
1.170873347,0.854063339,0.206049282,0.000623867,,,
1.170783406,0.854128949,0.206085816,0.000623518,,,
1.170693464,0.85419457,0.206126062,0.000623296,,,
1.170603523,0.8542602,0.206169973,0.000623432,,,
1.170513582,0.854325841,0.206203911,0.000623583,,,
1.17042364,0.854391492,0.206244448,0.000623317,,,
1.170333699,0.854457152,0.20627704,0.000624003,,,
1.170243758,0.854522823,0.20631936,0.000623856,,,
1.170153817,0.854588504,0.206361523,0.000623607,,,
1.170063875,0.854654195,0.206409275,0.000623755,,,
1.169973934,0.854719897,0.206445317,0.000624032,,,
1.169883993,0.854785608,0.206490936,0.000623801,,,
1.169794052,0.854851329,0.206529723,0.000624038,,,
1.16970411,0.854917061,0.206560326,0.00062375,,,
