J,h,val,err,,,
1.155005876,0.865796461,0.212800825,0.000591156,,,
1.154915935,0.865863887,0.212841026,0.000590819,,,
1.154825993,0.865931323,0.212881298,0.000590801,,,
1.154736052,0.865998769,0.21291857,0.000590663,,,
1.154646111,0.866066226,0.21295885,0.000591015,,,
1.15455617,0.866133694,0.212995974,0.000590815,,,
1.154466228,0.866201172,0.213039549,0.000590313,,,
1.154376287,0.86626866,0.213074512,0.000589989,,,
1.154286346,0.86633616,0.213116358,0.000589854,,,
1.154196405,0.866403669,0.213155406,0.000589702,,,
1.154106464,0.866471189,0.213195322,0.000589379,,,
1.154016522,0.86653872,0.213236469,0.00058896,,,
1.153926581,0.866606261,0.213269728,0.00058939,,,
1.15383664,0.866673813,0.213312955,0.00058914,,,
