infid^{-1},7_Character,7_Cross_Character,Sample#,Variance,Variance(amp),7_Character(amp),7_Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,N_M,partone_crm,partone_thr,parttwo
78.664345,0.0026387299797474093,0.002475835384152889,1447,4.058603928670154e-05,4.018393475552933,261.2586869947975,245.13061459246453,0.22818738333731323,22592.66261309226,8139810,792075,3.840709111830116e-05,0.22818520438914483,1.7258903704857331
61.734505,0.00428628445707444,0.0040217800050458465,1448,6.593034813454443e-05,4.020326157273838,261.3707042032706,245.24164987102492,0.22656623800869885,13815.643308339344,4977577,487828,6.238910114867218e-05,0.22656269676171298,1.7275194346240903
48.46077,0.006954902473649914,0.006525642061227888,1448,0.00010698474767696719,4.019967074528022,261.33144731102027,245.201926404496,0.22451431549693876,8436.157262183258,3039425,300602,0.0001012311374301659,0.22450856188669197,1.7295467474089623
38.037537,0.011289113088269152,0.010592377871829962,1448,0.00017367006099448456,4.020403903184066,261.3391972321875,245.21000969336998,0.22191260241423408,5137.202623198563,1850860,185198,0.00016431758016290725,0.2219032499334025,1.7320607450464558
29.864708,0.01831598079646155,0.017185650020465282,1448,0.0002817970678278952,4.02136031307763,261.3765957102387,245.2463096207549,0.21862466340666878,3119.8640626753313,1124042,114164,0.0002665983565387919,0.21860946469537967,1.7351456756091856
23.442703,0.029713116940601157,0.02787869937258495,1448,0.0004571975934861861,4.0201225559994915,261.26640499381904,245.1364350478453,0.2144758267958292,1885.8784939002624,679454,70344,0.00043247781479751067,0.2144511070171405,1.7388881120761823
18.408566,0.04819573795065461,0.045220806794425694,1448,0.0007416939741819405,4.02146771768717,261.31748543924897,245.1873967186122,0.20925393069250417,1134.5756556903464,408771,43377,0.0007015032536684022,0.20921373997199064,1.7433528837157535
14.448979,0.07825697737092373,0.0734280271195117,1449,0.0012045110367046035,4.023510312545406,261.40711532372853,245.2766436690384,0.20268660363619553,677.0478767684663,243930,26723,0.0011390780938245273,0.20262117069331545,1.7485645325842725
11.342594,0.12693950544393898,0.11910301940974999,1449,0.0019541639950500325,4.022589649040912,261.30127356076264,245.1700953762136,0.19450008779552463,400.3727639469656,144248,16468,0.0018476305541742211,0.19439355435464883,1.7543927043428609
8.90166,0.2062705277740729,0.19354724102476806,1450,0.0031760465192862603,4.026695513914605,261.5165123674927,245.3855138557995,0.18429195068690585,233.65135446703144,84181,10143,0.0030024721744770534,0.18411837634209663,1.7605645793997857
6.990425,0.33417338761577475,0.3135407599127958,1449,0.005146302537915036,4.02367125134926,261.2757106309448,245.14395189413665,0.17179706186817653,134.3206882635598,48393,6255,0.004863925432410978,0.17151468476267248,1.7662687949278792
5.4868026,0.5425349527726733,0.5090456535171873,1450,0.008356075315641254,4.024954941384536,261.32827392648016,245.19714592317428,0.15650132320484023,75.38356828683035,27159,3854,0.007896761621400633,0.1560420095105996,1.770194977603353
4.305896,0.8819498561661657,0.8275664830029864,1451,0.013583436130422141,4.02955060727866,261.63200123894234,245.4990763846227,0.13807567328751222,40.96039527877647,14757,2374,0.012837974210833365,0.13733021136792345,1.7697265971037561
3.381741,1.427472661697565,1.3393155375880084,1448,0.021978867879555834,4.021665818260676,261.19716636499925,245.06628580234067,0.11662867372661391,21.340569183351352,7688,1464,0.02077662990890873,0.11542643575596681,1.7600763890273583
2.6536899,2.3209002132009466,2.177734539196804,1449,0.03570461131441751,4.022949546612939,261.5030416718302,245.37212014313303,0.0919727066546685,10.362850761177645,3733,902,0.03378289709994133,0.09005099244019232,1.7333862214575126
2.083113,3.7673402459159284,3.5349958731034246,1447,0.057852026227242476,4.0166516380427595,261.56548623524156,245.43387483788837,0.06537021585005158,4.538637653622488,1635,556,0.05483797573401103,0.062356165356820134,1.6758120742366858
1.6353092,6.111422725273808,5.734441571132579,1441,0.09351801111366624,4.001427870596193,261.4941970074887,245.3640111865266,0.03901927232461278,1.6695479502907418,601,343,0.0889574733919795,0.03445873460292604,1.5642644385385533
1.2838428,9.911526057664455,9.299880564557272,1432,0.15071445649523693,3.9746468790295633,261.3871092900847,245.25677311143292,0.017276718602657073,0.4556222227832079,164,211,0.144267634362788,0.010829896470208147,1.360279469946723
1.0080005,16.07132593936801,15.079056905276186,1414,0.2415546225359251,3.9269632794658205,261.27219654775377,245.1408386821013,0.007637577116461272,0.12416440043895761,44,131,0.23391966335217693,2.6179327131034006e-06,1.00017965307101
