1/1-phi0,m,r,infid^{-1},Character,Cross_Character,Sample#,Variance,Variance(amp),Character(amp),Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,
191.4003178,0.264039044,237.737047,7.7093596,nan,nan,358,0.002092574,1.989927918,nan,nan,nan,nan,nan,179
172.4306336,0.270757237,216.6757285,7.359955,nan,nan,343,0.002198255,1.905234453,nan,nan,nan,nan,nan,171.5
155.307541,0.277646367,197.5654356,7.027904,nan,nan,328.5,0.002309039,1.824748346,nan,nan,nan,nan,nan,164.25
139.8528684,0.284710784,180.2230092,6.7123604,nan,nan,314.5,0.002425134,1.748261062,nan,nan,nan,nan,nan,157.25
125.9055593,0.291954947,164.48266,6.412539,nan,nan,301.5,0.00254675,1.675584704,nan,nan,nan,nan,nan,150.75
113.3200315,0.299383431,150.1943172,6.12769,nan,nan,289,0.0026741,1.606538637,nan,nan,nan,nan,nan,144.5
101.9646943,0.307000924,137.2221346,5.8570933,nan,nan,277.5,0.002807395,1.540947417,nan,nan,nan,nan,nan,138.75
91.72060708,0.314812236,125.443139,5.60007,nan,nan,266,0.002946845,1.478645941,nan,nan,nan,nan,nan,133
82.48026623,0.322822299,114.7460081,5.355978,nan,nan,255.5,0.003092654,1.419478982,nan,nan,nan,nan,nan,127.75
74.14650859,0.331036169,105.0299655,5.124208,nan,nan,245.5,0.003245023,1.3632995,nan,nan,nan,nan,nan,122.75
66.63151966,0.339459032,96.20378029,4.904175,nan,nan,235.5,0.003404139,1.309963317,nan,nan,nan,nan,nan,117.75
59.8559369,0.348096207,88.1848638,4.6953416,nan,nan,226.5,0.003570179,1.259344046,nan,nan,nan,nan,nan,113.25
53.74803882,0.356953144,80.89845179,4.49718,nan,nan,218,0.003743303,1.211310552,nan,nan,nan,nan,nan,109
48.24301181,0.366035438,74.27686562,4.3092012,nan,nan,210,0.003923647,1.165744679,nan,nan,nan,nan,nan,105
43.28228716,0.37534882,68.25884429,4.1309466,nan,nan,202,0.004111322,1.122536845,nan,nan,nan,nan,nan,101
38.81294161,0.384899172,62.78894086,3.961974,nan,nan,194.5,0.004306404,1.081578301,nan,nan,nan,nan,nan,97.25
34.78715533,0.394692523,57.81697724,3.8018737,nan,nan,187.5,0.004508929,1.042770651,nan,nan,nan,nan,nan,93.75
31.16172186,0.404735054,53.29755194,3.6502585,nan,nan,181,0.004718884,1.006019819,nan,nan,nan,nan,nan,90.5
27.89760494,0.415033107,49.189596,3.5067642,nan,nan,174.5,0.004936193,0.971237215,nan,nan,nan,nan,nan,87.25
24.95953788,0.425593184,45.45597265,3.3710518,nan,nan,169,0.005160715,0.938341078,nan,nan,nan,nan,nan,84.5
22.31566132,0.43642195,42.06311704,3.2428043,nan,nan,163,0.005392222,0.907254659,nan,nan,nan,nan,nan,81.5
19.93719569,0.447526243,38.98071245,3.121727,nan,nan,158,0.005630387,0.877906101,nan,nan,nan,nan,nan,79
17.7981451,0.458913072,36.18140022,3.007549,nan,nan,153,0.00587477,0.850229853,nan,nan,nan,nan,nan,76.5
15.87502958,0.470589627,33.64052073,2.900022,nan,nan,148,0.006124799,0.824165497,nan,nan,nan,nan,nan,74
14.14664309,0.48256328,31.33588344,2.7989233,nan,nan,144,0.006379744,0.79965979,nan,nan,nan,nan,nan,72
12.59383461,0.49484159,29.24756436,2.7040505,nan,nan,139.5,0.006638699,0.776662822,nan,nan,nan,nan,nan,69.75
11.19931037,0.507432308,27.35772979,2.6152313,nan,nan,136,0.006900549,0.755133729,nan,nan,nan,nan,nan,68
9.947454927,0.520343384,25.65048592,2.5323155,nan,nan,132,0.007163949,0.735035154,nan,nan,nan,nan,nan,66
8.824169528,0.533582968,24.11175436,2.4551864,nan,nan,129,0.007427283,0.716339423,nan,nan,nan,nan,nan,64.5
7.816725895,0.54715942,22.72917491,2.3837564,nan,nan,125.5,0.007688632,0.699025109,nan,nan,nan,nan,nan,62.75
6.913634103,0.56108131,21.49203774,2.3179758,nan,nan,123,0.007945733,0.683080235,nan,nan,nan,nan,nan,61.5
6.104523123,0.575357427,20.39124914,2.2578335,nan,nan,120,0.00819594,0.668501842,nan,nan,nan,nan,nan,60
5.380032849,0.589996785,19.41933718,2.2033687,nan,nan,118,0.008436177,0.65529978,nan,nan,nan,nan,nan,59
4.731716483,0.605008626,18.57050733,2.1546755,nan,nan,115.5,0.008662887,0.643496662,nan,nan,nan,nan,nan,57.75
4.151952318,0.620402428,17.84076295,2.1119163,nan,nan,114,0.008871988,0.633132164,nan,nan,nan,nan,nan,57
3.633863984,0.636187908,17.22811422,2.0753381,nan,nan,112,0.009058823,0.624265746,nan,nan,nan,nan,nan,56
