1/1-phi0,m,r,infid^{-1},Character,Cross_Character,Sample#,Variance,Variance(amp),Character(amp),Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
13894.5948,0.09191099,14252.75814,59.692436,0.00166687,0.000566311,311,1.52E-05,0.8639266,5.939368,2.0178704,0.09114568,324.7691113,58504.5
12560.51586,0.094249567,12901.27626,56.792027,0.001850924,0.000637814,314,1.69E-05,0.87258124,5.9698477,2.057164,0.099308049,320.3016308,57700
11354.26817,0.096647647,11678.47871,54.033424,0.002014171,0.000708189,310,1.85E-05,0.8628096,5.880595,2.0676374,0.090179084,263.2878329,47429
10263.61559,0.099106744,10572.08758,51.41055,0.00219667,0.000717891,299,1.97E-05,0.83243054,5.8058977,1.8974184,0.086812081,229.4482028,41333
9277.492664,0.10162841,9570.997636,48.915447,0.002535184,0.000859076,318,2.31E-05,0.8843036,6.065989,2.055529,0.091012186,217.7667788,39229
8385.892567,0.104214236,8665.16426,46.54339,0.00289181,0.001036002,335,2.69E-05,0.9323376,6.2644906,2.2442784,0.089666415,194.2431916,34991.5
7579.765899,0.106865857,7845.502102,44.28739,0.003038304,0.000962869,306,2.71E-05,0.8503512,5.9592485,1.8885444,0.089103762,174.765723,31482.5
6850.929096,0.109584945,7103.793412,42.14195,0.003239521,0.001038542,295,2.88E-05,0.81931764,5.753208,1.8443921,0.090255829,160.289295,28874.5
6191.981611,0.112373218,6432.605133,40.10177,0.003554594,0.001159729,294,3.18E-05,0.8173015,5.716326,1.8650196,0.085180895,136.9838061,24676.5
5596.231024,0.115232435,5825.213929,38.161606,0.003956726,0.001303438,297,3.55E-05,0.8271097,5.7622128,1.8982073,0.089164632,129.8511796,23391.5
5057.625305,0.118164401,5275.53837,36.316364,0.004564276,0.001566947,317,4.17E-05,0.87993973,6.0197244,2.066612,0.088482684,116.6978885,21022
4570.691559,0.121170969,4778.077602,34.56184,0.00489608,0.001645595,304,4.43E-05,0.84618026,5.8484693,1.9656972,0.087602776,104.6433378,18850.5
4130.480628,0.124254035,4327.855879,32.89321,0.005426898,0.001804408,305,4.90E-05,0.84740114,5.8717055,1.9523038,0.097691436,105.6985644,19040.5
3732.51699,0.127415547,3920.372397,31.306383,0.006115617,0.002056988,313,5.55E-05,0.87045693,5.9938526,2.0160325,0.084834653,83.14556143,14978
3372.753457,0.130657501,3551.555922,29.797503,0.006512128,0.002098131,297,5.81E-05,0.8251939,5.7820616,1.8629122,0.0893238,79.30981722,14287
3047.53019,0.133981942,3217.723754,28.362505,0.007336238,0.002448816,307,6.63E-05,0.8532804,5.901502,1.9699055,0.09139063,73.51751729,13243.5
2753.537652,0.13739097,2915.544611,26.997887,0.008351125,0.002965301,324,7.72E-05,0.90003985,6.0870175,2.1613665,0.087574305,63.83167918,11498.5
2487.783092,0.140886737,2642.005068,25.700155,0.00886487,0.002857147,301,7.92E-05,0.8372746,5.8552294,1.8871397,0.086863168,57.37295059,10335
2247.560238,0.14447145,2394.379191,24.46614,0.009746389,0.003230435,302,8.78E-05,0.8404321,5.8341117,1.9337128,0.083232556,49.82234836,8975
2030.42189,0.148147373,2170.201085,23.292696,0.010833316,0.003661431,307,9.82E-05,0.85237634,5.877611,1.986508,0.089156824,48.37200319,8713.5
1834.155134,0.151916825,1967.240056,22.176802,0.012085447,0.004102764,311,0.000109857,0.8644592,5.9437494,2.0177824,0.087216264,42.89387414,7727
1656.758923,0.155782187,1783.478152,21.115608,0.012858667,0.00417461,295,0.000114796,0.81894654,5.7332797,1.8613288,0.08347901,37.22069455,6705
1496.42381,0.1597459,1617.08985,20.106537,0.014724145,0.004914184,310,0.000133217,0.8616946,5.9525714,1.9866711,0.089562137,36.2075374,6522.5
1351.513609,0.163810464,1466.423678,19.14696,0.016741008,0.005797533,324,0.000153745,0.9018237,6.137354,2.1254106,0.084260622,30.89045096,5564.5
1220.548821,0.167978447,1329.985603,18.234499,0.017782856,0.005793704,305,0.00015964,0.8492772,5.9127455,1.9263889,0.078074929,25.95967642,4676
1102.191639,0.17225248,1206.423996,17.366783,0.02050926,0.007178725,328,0.000189144,0.9127483,6.1856985,2.1651404,0.089568128,27.01420991,4866
995.2323863,0.176635262,1094.516041,16.541727,0.021491554,0.007369889,308,0.000195633,0.85649455,5.8807073,2.0166137,0.086387588,23.63812853,4258
898.5772591,0.181129558,993.1554367,15.75716,0.023392513,0.007784914,301,0.000210719,0.8371029,5.808083,1.9329017,0.079338058,19.69869704,3548.5
811.2372327,0.185738207,901.3412799,15.011181,0.026533388,0.008852523,311,0.000240189,0.86596906,5.9789157,1.9947882,0.078801545,17.75678967,3198.5
732.3180356,0.190464118,818.1680032,14.301827,0.028025862,0.009285927,296,0.000251649,0.8235644,5.732473,1.8993644,0.083573759,17.09436536,3079
661.0110798,0.195310275,742.8162799,13.627327,0.03097744,0.010203298,297,0.000277827,0.8254984,5.7526355,1.8947937,0.075520846,14.02452679,2526
596.5852592,0.200279738,674.5447942,12.986014,0.035616945,0.011477487,310,0.00031948,0.86201715,6.0063195,1.935524,0.077974962,13.14942986,2368.5
538.3795334,0.205375643,612.6827998,12.37622,0.03963766,0.013788183,321,0.000363958,0.89196444,6.071333,2.1119473,0.077015855,11.79658146,2125
485.7962199,0.210601208,556.6233871,11.7964325,0.04175681,0.013886781,301,0.000376093,0.8373688,5.8107023,1.9324261,0.071297936,9.921522064,1787
438.2949286,0.215959732,505.8173955,11.245197,0.047388867,0.015918149,313,0.000429951,0.86990744,5.9925337,2.012921,0.079397375,10.04015276,1808.5
395.3870768,0.221454597,459.7679053,10.721102,0.051779706,0.017222794,310,0.000468012,0.86070776,5.9516644,1.9796227,0.078096764,8.97660004,1617
356.630929,0.227089274,418.025257,10.222836,0.05511704,0.018408675,299,0.000496395,0.8300229,5.7600813,1.9238236,0.074932935,7.830968287,1410.5
321.6271106,0.232867319,380.1825454,9.74914,0.061318196,0.02025074,302,0.000551423,0.83856565,5.828032,1.924746,0.076728714,7.292735631,1313.5
290.0145519,0.238792381,345.8715444,9.298802,0.066746935,0.021910224,298,0.000598344,0.82779974,5.771456,1.8945273,0.06805584,5.884633971,1060
261.4668193,0.244868199,314.7590205,8.870728,0.07364706,0.024207706,299,0.000660855,0.8320406,5.7952733,1.9048998,0.068624381,5.400039525,972.5
235.6887985,0.25109861,286.5433988,8.463796,0.08455763,0.028785102,318,0.000771298,0.88404137,6.057358,2.0620453,0.073302901,5.25111536,945.5
212.4136943,0.257487547,260.9517469,8.077005,0.08869672,0.02824313,296,0.000788654,0.823203,5.786398,1.8425257,0.069976582,4.565133155,822
191.4003178,0.264039044,237.737047,7.7093663,0.10229315,0.03608485,323,0.000943337,0.8970654,6.079725,2.1446788,0.067052099,3.985196669,717.5
172.4306336,0.270757237,216.6757285,7.359955,0.10711029,0.035648234,301,0.000964716,0.83612204,5.80205,1.9310268,0.068419995,3.706238232,667.5
155.307541,0.277646367,197.5654356,7.027898,0.118914045,0.04052163,307,0.001080268,0.8536941,5.873326,2.001418,0.069790747,3.447059374,620.5
139.8528684,0.284710784,180.2230092,6.7123575,0.142747,0.05196414,347,0.001338751,0.9650946,6.431573,2.3412833,0.070362705,3.170244301,571
125.9055593,0.291954947,164.48266,6.412539,0.1407941,0.045140117,297,0.00125437,0.82528853,5.789546,1.8561914,0.06569344,2.701357531,486.5
113.3200315,0.299383431,150.1943172,6.1276917,0.16112669,0.05330244,315,0.001457479,0.87562066,6.050083,2.0014327,0.061939501,2.325742087,418.5
101.9646943,0.307000924,137.2221346,5.8570933,0.17676927,0.060749605,319,0.001617113,0.88761497,6.0641656,2.084048,0.059628402,2.045584598,368
91.72060708,0.314812236,125.443139,5.60007,0.18660598,0.06339835,306,0.00169285,0.84942573,5.85211,1.9882219,0.059532994,1.867001392,336
82.48026623,0.322822299,114.7460081,5.35598,0.19857064,0.06379351,292,0.001765802,0.8104755,5.6963005,1.8300138,0.066855408,1.917848967,345
74.14650859,0.331036169,105.0299655,5.124205,0.22558206,0.07506385,308,0.002037772,0.8561079,5.923216,1.9709872,0.055031873,1.44499809,260
66.63151966,0.339459032,96.20378029,4.904176,0.25123188,0.08464884,316,0.002284049,0.8789365,6.0423636,2.0358844,0.05032689,1.210409148,218
